Filename,Z3,RInGen,Collab
tip2015_bin_times_comm.smt2,1200000,600000,1200000
tip2015_sort_HSortSorts.smt2,600000,600000,11780
isaplanner_prop_26.smt2,600000,40,1070
tip2015_sort_NStoogeSortIsSort.smt2,600000,600000,92550
tip2015_mod_same.smt2,4050,50,1200
isaplanner_prop_83.smt2,600000,100,1120
false_productive_use_of_failure_rot_comm.smt2,600000,600000,47860
tip2015_sort_nat_BubSortSorts.smt2,600000,600000,600000
isaplanner_prop_79.smt2,600000,40,1040
tip2015_sort_nat_HSortCount.smt2,600000,600000,600000
tip2015_sort_nat_StoogeSort2IsSort.smt2,600000,600000,600000
tip2015_sort_MSortTDSorts.smt2,2370,2910,4230
tip2015_weird_nat_mul3_comm23.smt2,600000,600000,600000
prod_prop_22.smt2,600000,2890,4010
tip2015_sort_HSortCount.smt2,600000,600000,600000
tip2015_regexp_RecStar.smt2,600000,600000,600000
isaplanner_prop_10.smt2,300,40,310
tip2015_regexp_Deeps.smt2,1200000,600000,1200000
prod_prop_19.smt2,600000,600000,9780
false_regexp_kfind6.smt2,600000,600000,600000
tip2015_sort_nat_HSortSorts.smt2,600000,600000,24020
tip2015_nat_boring_max_min_distrib.smt2,600000,60,1310
isaplanner_prop_65.smt2,600000,600000,600000
tip2015_regexp_RecAtom.smt2,1200000,3140,58730
prod_prop_05.smt2,600000,600000,600000
tip2015_bin_plus.smt2,1200000,600000,1200000
isaplanner_prop_44.smt2,600000,7040,7920
tip2015_sort_NMSortTDIsSort.smt2,600000,600000,600000
isaplanner_prop_04.smt2,600000,7030,8180
tip2015_weird_nat_add3_assoc3.smt2,600000,600000,600000
false_regexp_deluxe_bad_assoc.smt2,600000,490,600000
tip2015_nat_pow_le_factorial.smt2,600000,600000,600000
tip2015_nat_min_max_distrib.smt2,600000,60,1350
isaplanner_prop_77.smt2,600000,600000,600000
tip2015_sort_nat_MSortBU2Count.smt2,600000,600000,600000
isaplanner_prop_61.smt2,600000,40,950
false_regexp_find2.smt2,1200000,566000,1200000
false_regexp_kfind5.smt2,600000,600000,600000
tip2015_sort_nat_HSort2IsSort.smt2,600000,600000,96530
tip2015_rotate_mod.smt2,600000,710,2020
false_productive_use_of_failure_rot_uhhh.smt2,600000,600000,17140
false_show_bin_lists_assoc.smt2,13950,4870,11280
isaplanner_prop_80.smt2,600000,7060,8440
tip2015_weird_nat_mul3_rot.smt2,600000,600000,600000
tip2015_regexp_PlusAssociative.smt2,1200000,600000,1200000
tip2015_weird_nat_add3acc_comm13.smt2,600000,600000,148220
tip2015_sort_nat_NMSortTDCount.smt2,600000,600000,600000
tip2015_nat_acc_alt_mul_comm.smt2,600000,600000,181150
tip2015_weird_nat_add3_rot.smt2,600000,600000,600000
false_graph_t5.smt2,600000,600000,600000
false_regexp_koen.smt2,1200000,530,1880
prod_prop_41.smt2,600000,600000,117650
false_regexp_find5.smt2,1200000,600000,1200000
false_regexp_kfind3.smt2,600000,600000,600000
isaplanner_prop_30.smt2,600000,7030,8280
prod_prop_47.smt2,600000,18390,19300
tip2015_propositional_AndIdempotent.smt2,600000,600000,600000
false_productive_use_of_failure_union_comm.smt2,18570,70,990
false_regexp_deluxe_koen.smt2,600000,7010,600000
tip2015_relaxedprefix_is_prefix_4.smt2,600000,50,1170
tip2015_int_mul_ident_left.smt2,600000,600000,600000
false_graph_p5.smt2,600000,2950,4500
tip2015_int_add_inv_right.smt2,1200000,600000,1200000
tip2015_sort_BSortIsSort.smt2,600000,600000,600000
tip2015_sort_nat_MSortBU2Sorts.smt2,600000,600000,600000
isaplanner_prop_31.smt2,600000,40,1010
isaplanner_prop_13.smt2,600000,7030,8110
false_hotel_key_safe0.smt2,1200000,96940,1200000
isaplanner_prop_48.smt2,600000,7030,8130
false_regexp_kfind4.smt2,600000,600000,600000
tip2015_sort_ISortSorts.smt2,600000,600000,54170
isaplanner_prop_28.smt2,600000,7030,9480
tip2015_nat_boring_min_idem.smt2,180,90,190
tip2015_sort_nat_NStoogeSortSorts.smt2,600000,600000,600000
tip2015_sort_nat_BSortCount.smt2,600000,600000,600000
false_hotel_key_safe1.smt2,1200000,3020,546410
false_queue1_QueueL.smt2,600000,600000,600000
isaplanner_prop_63.smt2,600000,40,960
tip2015_sort_nat_HSortIsSort.smt2,600000,600000,40830
isaplanner_prop_72.smt2,600000,600000,45150
false_graph_p11.smt2,600000,2950,5580
prod_prop_38.smt2,600000,600000,27040
tip2015_sort_nat_NStoogeSort2Count.smt2,600000,600000,600000
false_productive_use_of_failure_rot_bogus.smt2,443150,50,1070
tip2015_sort_TSortSorts.smt2,600000,600000,600000
isaplanner_prop_22.smt2,600000,40,960
tip2015_sort_NStoogeSortCount.smt2,600000,600000,37810
tip2015_sort_nat_MSortTDIsSort.smt2,600000,600000,600000
tip2015_sort_MSortTDCount.smt2,600000,600000,23510
isaplanner_prop_21.smt2,600000,40,1120
false_productive_use_of_failure_union_idem.smt2,600000,600000,55300
tip2015_list_append_inj_1.smt2,600000,600000,600000
tip2015_list_nat_append_inj_2.smt2,600000,40,1570
grammars_packrat_unambigPackrat.smt2,1200000,600000,1200000
tip2015_weird_nat_mul3acc_comm13.smt2,600000,600000,600000
false_productive_use_of_failure_rot_uhhhw2.smt2,1330,50,1030
isaplanner_prop_54.smt2,600000,600000,600000
grammars_simp_expr_unambig2.smt2,600000,600000,54310
false_regexp_deluxe_Conj0.smt2,600000,600000,600000
tip2015_weird_nat_add3_comm13.smt2,600000,600000,600000
tip2015_sort_MSortBU2Count.smt2,600000,600000,26310
false_graph_btp5.smt2,69970,600000,101020
tip2015_weird_nat_mul2_assoc.smt2,600000,600000,600000
isaplanner_prop_06.smt2,600000,40,1030
tip2015_int_add_comm.smt2,1200000,600000,1200000
tip2015_int_add_ident_left.smt2,1200000,50,1240
tip2015_list_nat_append_inj_1.smt2,600000,600000,57240
tip2015_nicomachus_theorem.smt2,650,2880,690
isaplanner_prop_60.smt2,600000,50,970
tip2015_propositional_AndCommutative.smt2,1200000,600000,1200000
tip2015_sort_BubSortIsSort.smt2,600000,600000,79080
tip2015_nat_le_ne_lt.smt2,600000,40,1030
tip2015_regexp_RecEps.smt2,600000,3020,600000
false_regexp_star_plus_easy.smt2,1200000,600000,1200000
false_graph_p9.smt2,600000,2950,5720
tip2015_nat_le_ge_eq.smt2,600000,40,1100
false_regexp_kfind2.smt2,600000,600000,600000
false_regexp_kfind1.smt2,600000,600000,600000
tip2015_nat_max_idem.smt2,180,40,190
tip2015_int_mul_assoc.smt2,600000,600000,600000
isaplanner_prop_33.smt2,600000,40,1000
tip2015_int_add_assoc.smt2,1200000,150,1370
tip2015_sort_TSortIsSort.smt2,600000,600000,600000
