Filename,Z3,RInGen,Collab
tip2015_weird_nat_add3_comm13.smt2,600000,600000,600000
tip2015_sort_MSortBU2Count.smt2,600000,600000,20650
false_graph_btp5.smt2,69970,600000,99480
tip2015_weird_nat_mul2_assoc.smt2,600000,600000,600000
isaplanner_prop_06.smt2,600000,600000,600000
tip2015_int_add_comm.smt2,1200000,600000,1200000
tip2015_int_add_ident_left.smt2,1200000,30,1010
tip2015_list_nat_append_inj_1.smt2,600000,600000,600000
tip2015_nicomachus_theorem.smt2,650,40,730
isaplanner_prop_60.smt2,600000,600000,600000
tip2015_propositional_AndCommutative.smt2,1200000,600000,1200000
tip2015_sort_BubSortIsSort.smt2,600000,600000,77060
tip2015_nat_le_ne_lt.smt2,600000,600000,600000
tip2015_regexp_RecEps.smt2,600000,420,1850
false_regexp_star_plus_easy.smt2,1200000,600000,1200000
false_graph_p9.smt2,600000,600000,600000
tip2015_nat_le_ge_eq.smt2,600000,600000,600000
false_regexp_kfind2.smt2,600000,600000,600000
false_regexp_kfind1.smt2,600000,600000,600000
tip2015_nat_max_idem.smt2,180,600000,190
tip2015_int_mul_assoc.smt2,600000,600000,600000
isaplanner_prop_33.smt2,600000,600000,600000
tip2015_int_add_assoc.smt2,1200000,760,3350
tip2015_sort_TSortIsSort.smt2,600000,600000,600000
tip2015_sort_nat_NStoogeSort2Sorts.smt2,600000,600000,600000
tip2015_list_nat_Interleave.smt2,600000,600000,600000
false_graph_bt5.smt2,600000,600000,600000
false_productive_use_of_failure_app_inj2.smt2,600000,600000,600000
grammars_simp_expr_unambig3.smt2,600000,600000,48080
prod_prop_20.smt2,600000,40,1080
tip2015_weird_nat_op_spec.smt2,600000,600000,600000
false_graph_t3.smt2,600000,600000,600000
tip2015_weird_nat_mul3_rrot.smt2,600000,600000,600000
false_regexp_find7.smt2,1200000,600000,1200000
tip2015_sort_StoogeSortIsSort.smt2,600000,600000,150430
tip2015_sort_MSortBU2IsSort.smt2,600000,600000,461200
tip2015_nat_alt_mul_comm.smt2,600000,600000,600000
tip2015_sort_nat_NStoogeSort2IsSort.smt2,600000,600000,600000
tip2015_weird_nat_mul3_same.smt2,156560,35400,171000
false_regexp_star_plus_2.smt2,1200000,600000,1200000
tip2015_sort_nat_HSort2Count.smt2,600000,600000,600000
tip2015_weird_nat_mul3acc_assoc2.smt2,600000,600000,600000
tip2015_rotate_structural_mod.smt2,600000,600000,600000
false_queue3_QueueL.smt2,600000,600000,600000
tip2015_rotate_self.smt2,600000,600000,48670
tip2015_tree_Flatten1.smt2,600000,600000,600000
tip2015_sort_StoogeSortCount.smt2,600000,600000,600000
tip2015_weird_nat_mul3acc_assoc3.smt2,233710,600000,247540
tip2015_nat_max_comm.smt2,600000,600000,600000
tip2015_weird_nat_op_comm_comm.smt2,600000,600000,600000
tip2015_bin_plus_comm.smt2,1200000,600000,1200000
tip2015_relaxedprefix_correct.smt2,600000,600000,5290
tip2015_sort_BubSortSorts.smt2,600000,600000,600000
tip2015_sort_nat_NStoogeSortIsSort.smt2,600000,600000,600000
tip2015_sort_nat_MSortTDCount.smt2,600000,600000,600000
tip2015_nat_boring_gt_trans.smt2,600000,600000,600000
isaplanner_prop_42.smt2,600000,600000,3590
tip2015_sort_HSort2IsSort.smt2,600000,600000,600000
isaplanner_prop_53.smt2,600000,600000,18120
false_regexp_deluxe_star_seq.smt2,600000,600000,600000
tip2015_weird_nat_mul3_assoc1.smt2,600000,600000,600000
tip2015_weird_nat_mul3_assoc3.smt2,600000,600000,600000
tip2015_regexp_Reverse.smt2,1200000,600000,1200000
tip2015_regexp_PlusCommutative.smt2,600000,600000,600000
prod_prop_08.smt2,600000,600000,600000
tip2015_int_right_distrib.smt2,600000,600000,600000
tip2015_nat_acc_alt_mul_same.smt2,600000,600000,600000
tip2015_sort_NMSortTDSorts.smt2,1440,310,1590
tip2015_sort_nat_StoogeSort2Count.smt2,600000,600000,600000
false_regexp_bad_assoc.smt2,1200000,250,1200000
false_graph_bt3.smt2,600000,600000,286050
